Class,Desc,Type
6,boxes of metal for dispensing paper towels,specific
6,toilet paper dispensers of metal,specific
7,needles for wool combing machines,specific
7,furnace loading machines,specific
9,insulating gloves for protection against accidents,specific
9,wet suits,specific
10,hospital beds,specific
21,bags for use in cooking,specific
1,combusting preparations [chemical additives to motor fuel],specific
1,adhesives for industrial purposes,specific
1,"salt for preserving, other than for foodstuffs",specific
1,auxiliary fluids for use with abrasives,specific
1,vulcanization accelerators,specific
1,anti-frothing solutions for batteries / anti-frothing solutions for accumulators,specific
1,acetates [chemicals]*,specific
1,"acetate of cellulose, unprocessed",specific
1,bacteriological preparations for acetification,specific
1,acetic anhydride,specific
1,acetone,specific
1,acetylene,specific
1,acetylene tetrachloride,specific
1,acids*,specific
1,chemical condensation preparations,specific
1,acid proof chemical compositions,specific
1,finishing preparations for use in the manufacture of steel,specific
1,actinium,specific
1,"additives, chemical, to drilling muds / chemical additives to drilling muds",specific
1,"additives, chemical, to motor fuel / chemical additives to motor fuel",specific
1,detergent additives to petrol / detergent additives to gasoline,specific
1,adhesive preparations for surgical bandages,specific
1,water-softening preparations,specific
1,gum tragacanth for industrial purposes,specific
1,activated carbon / activated charcoal,specific
1,propellant gases for aerosols,specific
1,reducing agents for use in photography,specific
1,adhesives for billposting,specific
1,agar-agar for industrial purposes,specific
1,agglutinants for concrete,specific
1,"agricultural chemicals, except fungicides, herbicides, insecticides and parasiticides",specific
1,compositions for repairing inner tubes of tyres / compositions for repairing inner tubes of tires,specific
1,"albumin [animal or vegetable, raw material]",specific
1,iodised albumen,specific
1,malt albumen,specific
1,albumenized paper,specific
1,alkalies,specific
1,caustic alkali,specific
1,alkaline-earth metals,specific
1,alcohol*,specific
1,ethyl alcohol,specific
1,aldehydes*,specific
1,seaweeds [fertilizers] / seaweeds [fertilisers],specific
1,chemical substances for preserving foodstuffs,specific
1,chemical preparations for facilitating the alloying of metals,specific
1,alumina,specific
1,aluminium alum,specific
1,aluminium hydrate,specific
1,aluminium silicate,specific
1,aluminium chloride,specific
1,aluminium iodide,specific
1,alum,specific
1,soil conditioning preparations,specific
1,americium,specific
1,starch for industrial purposes,specific
1,starch-liquifying chemicals [ungluing agents] / ungluing agents [chemical preparations for liquifying starch],specific
1,sal ammoniac,specific
1,spirits of salt,specific
1,ammoniacal salts,specific
1,ammonia*,specific
1,ammonium aldehyde,specific
1,ammonia alum,specific
1,amyl acetate,specific
1,amyl alcohol,specific
1,anhydrous ammonia,specific
1,anhydrides,specific
1,animal charcoal,specific
1,animal albumen [raw material],specific
1,anthranilic acid,specific
1,anti-knock substances for internal combustion engines,specific
1,antifreeze,specific
1,anti-incrustants,specific
1,antimony,specific
1,antimony oxide,specific
1,antimony sulfide,specific
1,size for use in the textile industry,specific
1,gum arabic for industrial purposes,specific
1,glutinous tree-grafting preparations / glutinous tree-banding preparations / glutinous preparations for tree-banding / glutinous preparations for tree-grafting,specific
1,tree cavity fillers [forestry],specific
1,silver salt solutions for silvering,specific
1,argon,specific
1,lead arsenate,specific
1,arsenic,specific
1,arsenious acid,specific
1,astatine,specific
1,fuel for nuclear reactors,specific
1,engine-decarbonising chemicals / chemical preparations for decarbonising engines,specific
1,self-toning paper [photography],specific
1,textile-brightening chemicals,specific
1,nitrogen,specific
1,nitrous oxide,specific
1,nitrogenous fertilizers / nitrogenous fertilisers,specific
1,nitric acid,specific
1,oenological bactericides [chemical preparations for use in wine making],specific
1,fixing baths [photography],specific
1,galvanizing baths / baths for galvanizing,specific
1,toning baths [photography],specific
1,soda ash,specific
1,barium,specific
1,baryta,specific
1,baryta paper,specific
1,barium compounds,specific
1,substances for preventing runs in stockings,specific
1,bases [chemical preparations],specific
1,"chemicals, except pigments, for the manufacture of enamel",specific
1,bauxite,specific
1,bentonite,specific
1,benzene-based acids,specific
1,benzene derivatives,specific
1,benzoic acid,specific
1,benzoic sulfimide,specific
1,saccharin for industrial purposes,specific
1,berkelium,specific
1,concrete-aeration chemicals,specific
1,"concrete preservatives, except paints and oils",specific
1,bichloride of tin,specific
1,bichromate of potassium,specific
1,bichromate of soda,specific
1,beer-clarifying and preserving agents,specific
1,biochemical catalysts,specific
1,potassium dioxalate,specific
1,manganese dioxide,specific
1,bismuth,specific
1,basic gallate of bismuth,specific
1,moistening [wetting] preparations for use in bleaching / wetting preparations for use in bleaching,specific
1,wax-bleaching chemicals,specific
1,tan-wood,specific
1,wood alcohol,specific
1,wood pulp,specific
1,wood vinegar [pyroligneous acid] / pyroligneous acid [wood vinegar],specific
1,borax,specific
1,boric acid for industrial purposes,specific
1,drilling muds,specific
1,brazing preparations,specific
1,condensation-preventing chemicals,specific
1,catechu,specific
1,kainite,specific
1,calcium cyanamide [fertilizer] / calcium cyanamide [fertiliser],specific
1,californium,specific
1,plasticizers,specific
1,rubber preservatives,specific
1,carbonates,specific
1,magnesium carbonate,specific
1,carbon,specific
1,carbon disulfide,specific
1,carbonic acid,specific
1,carbide,specific
1,calcium carbide,specific
1,cassiopium [lutetium] / lutetium [cassiopium],specific
1,catalysts,specific
1,cellulose,specific
1,paper pulp,specific
1,viscose,specific
1,cement [metallurgy],specific
1,fermium,specific
1,ceramic glazings,specific
1,cerium,specific
1,salts from rare earth metals,specific
1,caesium,specific
1,ketones,specific
1,animal carbon preparations,specific
1,carbon for filters,specific
1,bone charcoal,specific
1,blood charcoal,specific
1,coal saving preparations,specific
1,cement for footwear,specific
1,lime acetate,specific
1,lime carbonate,specific
1,lime chloride,specific
1,"chimney cleaners, chemical",specific
1,leather-renovating chemicals,specific
1,industrial chemicals,specific
1,"chemical preparations for scientific purposes, other than for medical or veterinary use",specific
1,"chemical reagents, other than for medical or veterinary purposes",specific
1,moderating materials for nuclear reactors,specific
1,fissionable chemical elements,specific
1,"chemical substances for analyses in laboratories, other than for medical or veterinary purposes / chemical preparations for analyses in laboratories, other than for medical or veterinary purposes",specific
1,chlorates,specific
1,chlorine,specific
1,hydrochlorates,specific
1,hydrochloric acid,specific
1,cholic acid,specific
1,chromates,specific
1,chrome alum,specific
1,chromium oxide,specific
1,chrome salts,specific
1,chromic acid,specific
1,mastic for leather,specific
1,mastic for tyres / mastic for tires,specific
1,cement for mending broken articles,specific
1,"cement-waterproofing chemicals, except paints",specific
1,"cement preservatives, except paints and oils",specific
1,fluids for hydraulic circuits / liquids for hydraulic circuits,specific
1,grafting wax for trees,specific
1,citric acid for industrial purposes,specific
1,must-fining preparations,specific
1,size for finishing and priming,specific
1,adhesives for paperhanging / adhesives for wallpaper,specific
1,wine finings,specific
1,collodion*,specific
1,salts for colouring metal / salts for coloring metal,specific
1,"bate for dressing skins / dressing, except oils, for skins",specific
1,flower preservatives,specific
1,preservatives for use in the pharmaceutical industry,specific
1,chemical preparations for use in photography,specific
1,sensitized cloth for photography,specific
1,photosensitive plates,specific
1,corrosive preparations,specific
1,currying preparations for leather,specific
1,currying preparations for skins,specific
1,cream of tartar for chemical purposes,specific
1,crotonic aldehyde,specific
1,cryogenic preparations,specific
1,leather glues,specific
1,leather-dressing chemicals,specific
1,leather-impregnating chemicals,specific
1,blue vitriol / copper sulfate [blue vitriol],specific
1,curium,specific
1,solutions for cyanotyping,specific
1,cyanides [prussiates] / prussiates,specific
1,ferrocyanides,specific
1,cymene,specific
1,degreasing preparations for use in manufacturing processes / grease-removing preparations for use in manufacturing processes,specific
1,separating and unsticking [ungluing] preparations / ungluing preparations / unsticking and separating preparations,specific
1,oil-separating chemicals,specific
1,gum solvents / degumming preparations,specific
1,defoliants,specific
1,mould-release preparations / mold-release preparations,specific
1,polish removing substances / substances for removing polish,specific
1,dehydrating preparations for industrial purposes,specific
1,disincrustants,specific
1,detergents for use in manufacturing processes,specific
1,dextrin [size],specific
1,"diagnostic preparations, other than for medical or veterinary purposes",specific
1,diastase for industrial purposes,specific
1,diazo paper,specific
1,renovating preparations for phonograph records,specific
1,distilled water,specific
1,dolomite for industrial purposes,specific
1,metal hardening preparations,specific
1,dysprosium,specific
1,acidulated water for recharging batteries / acidulated water for recharging accumulators,specific
1,glycerine for industrial purposes,specific
1,heavy water,specific
1,clarification preparations / purification preparations,specific
1,ion exchangers [chemicals],specific
1,flashlight preparations,specific
1,fuel-saving preparations,specific
1,"reagent paper, other than for medical or veterinary purposes",specific
1,"antistatic preparations, other than for household purposes",specific
1,salts for galvanic cells / salts for galvanic batteries,specific
1,opacifiers for enamel,specific
1,opacifiers for glass,specific
1,enamel-staining chemicals,specific
1,photographic emulsions,specific
1,emulsifiers,specific
1,sensitized photographic plates,specific
1,sizing preparations,specific
1,fertilizers / fertilisers,specific
1,enzyme preparations for industrial purposes,specific
1,enzymes for industrial purposes,specific
1,"epoxy resins, unprocessed",specific
1,gas purifying preparations / preparations for the purification of gas,specific
1,erbium,specific
1,spirits of vinegar [dilute acetic acid],specific
1,"test paper, chemical",specific
1,esters*,specific
1,ethane,specific
1,ethers*,specific
1,ethyl ether,specific
1,glycol ether,specific
1,methyl ether,specific
1,sulfuric ether,specific
1,stain-preventing chemicals for use on fabrics,specific
1,europium,specific
1,fire extinguishing compositions,specific
1,flour for industrial purposes,specific
1,iron salts,specific
1,ferments for chemical purposes,specific
1,ferrotype plates [photography],specific
1,fertilizing preparations / fertilising preparations,specific
1,fireproofing preparations,specific
1,compositions for threading,specific
1,filtering preparations for the beverages industry,specific
1,fissionable material for nuclear energy,specific
1,fixing solutions [photography],specific
1,flowers of sulfur for chemical purposes,specific
1,limestone hardening substances,specific
1,fluorine,specific
1,fluorspar compounds,specific
1,hydrofluoric acid,specific
1,graphite for industrial purposes,specific
1,foundry binding substances,specific
1,foundry moulding preparations / foundry molding preparations,specific
1,"additives, chemical, to insecticides / chemical additives to insecticides",specific
1,"additives, chemical, to fungicides / chemical additives to fungicides",specific
1,formic acid,specific
1,formic aldehyde for chemical purposes,specific
1,fulling preparations for use in the textile industry,specific
1,fulling preparations,specific
1,francium,specific
1,brake fluid,specific
1,lamp black for industrial purposes,specific
1,chemical preparations for smoking meat,specific
1,gadolinium,specific
1,gallnuts,specific
1,gallic acid for the manufacture of ink,specific
1,gallium,specific
1,photographic paper,specific
1,gallotannic acid,specific
1,galvanizing preparations,specific
1,gambier,specific
1,protective gases for welding,specific
1,solidified gases for industrial purposes,specific
1,gelatine for photographic purposes,specific
1,gelatine for industrial purposes,specific
1,rock salt,specific
1,getters [chemically active substances],specific
1,dry ice [carbon dioxide],specific
1,birdlime,specific
1,glucosides,specific
1,glycerides,specific
1,glycol,specific
1,fat-bleaching chemicals,specific
1,fatty acids,specific
